ID; Beskrivelse; adresse; kvadratmeter; pris;pris per kvadratmeter ; totalpris ; fellesutgifter; megler 
173981250 ; Grünerløkka - Lys og lekker loftsleilighet fra 2006 | 2 bad | Utleiemuligheter | God takhøyde | Flott planløsning | IN-ordning ; Trondheimsveien 35C, Oslo, Grünerløkka - Sofienberg ; 66 m² ; 3200000 kr; 48485 ; DNB Eiendom AS;0 ; Andel • Leilighet • 2 soverom
175016232 ; Sandaker/Torshov - Totalt oppussingsobjekt - 2-roms på 50 kvm med østvendt balkong, stort potensial. ; Sandakerveien 67 A, Oslo, Sagene - Torshov ; 50 m² ; 2800000 kr; 56000 ; Fellesutg.: 4 550 kr;0 ; Sem & Johnsen Prosjektmegling
175016124 ; Briskeby/Frogner - Tiltalende, usjenert 3-r hjørneleilighet med flott utsikt. Nyere oppusset bad. God planløsning. Varmtvann/fyring inkl ; Schives gate 10 C, Oslo, Uranienborg - Majorstuen ; 74 m² ; 6500000 kr; 87838 ; Totalpris: 6 606 780 kr ; 4 653 kr ; Proaktiv Eiendomsmegling
174924508 ; Midt mellom St. Hanshaugen og Sagene - TOPPEN AV ILADALEN - Lys og fin 2-roms selveier m/ nyere HTH-kjøkken, pent bad og fine detaljer. Lave f.kostnader. ; Uelands gate 61G (vender i sin helhet mot indre gårdsrom), Oslo, Sagene - Torshov ; 33 m² ; 3290000 kr; 99697 ; Totalpris: 3 393 097 kr ; 1 724 kr ; Notar Oslo
167530957 ; Ullern - Nyoppusset 4-5roms med høy standard og garasje. To baderom, vaskerom og mastersuite. Romslig og solrik terrasse. ; Hoffsjef Løvenskiolds vei 27A, Oslo, Ullern ; 149 m² ; 10900000 kr; 73154 ; Totalpris: 11 184 070 kr ; 5 604 kr ; Privatmegleren Tjuvholmen
175014954 ; Ljan - 2 nye familieboliger med hage, balkong, peis og dobbelgarasje under oppføring ; Peder Holters vei 47, Oslo, Nordstrand ; 176 - 200 m² ; 9900000 - 10900000 kr; 56250 - 54500 ; Totalpris: 9 951 342 - 10 951 342 kr;0 ; Sem & Johnsen Eiendomsmegling
175001444 ; St. Hanshaugen - Strøken 3-roms m/høy standard, pusset opp 17, solrik balkong på 6 kvm, rolig bel. rett v/ parken, El-bil lading i gate. ; Herman Foss' gate 25, Oslo, St.Hanshaugen - Ullevål ; 80 m² ; 6900000 kr; 86250 ; Totalpris: 7 135 422 kr ; 3 624 kr ; DNB Eiendom AS
175009190 ; Høyt og luftig på Carl-Berner - PERFEKT FØRSTEGANGSKJØP - Tiltalende 2-roms leilighet med fantastisk utsyn over Oslo - Balkong - Nytt bad i 2019 ; Grenseveien 30D, Oslo, Helsfyr - Sinsen ; 36 m² ; 3290000 kr; 91389 ; Totalpris: 3 557 032 kr ; 3 395 kr ; Nordvik Slemmestad
175012392 ; Rødtvet - Bakkely, frittstående brl. ute - Stemningsfull 3 roms med 9 kvm innglasset balkong - fantastisk utsikt! Varmt vann og fyring inkl. 2 min til t-bane. ; Rødtvetveien 71, Oslo, Grorud ; 63 m² ; 2800000 kr; 44444 ; Totalpris: 2 860 526 kr ; 3 481 kr ; OBOS eiendomsmeglere - Kalbakken
175012234 ; STOVNER - Lys og pen 2-roms med solrik, sørvestvendt balkong - Flott utsikt - Nytt bad 2019 - Varmtvann inkludert! ; Tante Ulrikkes vei 24 A, Oslo, Stovner ; 58 m² ; 2350000 kr; 40517 ; Totalpris: 2 843 974 kr ; 4 932 kr ; Eie Eiendomsmegling Stovner
