ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
171352467 , Vaulenmarka - Flott leilighet med strålende utsikt mot Gandsfjorden , Sørflåtveien 88, Stavanger , 81 m² , 3 990 000 kr , Verdi Eiendomsmegling AS , Eier (Selveier) • Leilighet • 2 soverom
173637862 , Madlamark - VISNINGSPÅMELDING. Leilighet i 6. etasje med innglasset hagestue og heis. Fantastisk utsikt. Modernisering må påregnes! , Jernalderveien 53A, Hafrsfjord , 83 m² , 2 345 000 kr , Totalpris: 2 782 435 kr • Fellesutg.: 4 505 kr , EiendomsMegler 1 Østre Bydel
174907413 , Mariero - Stor enebolig med garasje og godkjent hybel. Fantastisk utsikt mot fjord og fjell! Etterspurt og idylliske omgivelser. , Bruvikveien 28, Stavanger , 331 m² , 6 000 000 kr , Totalpris: 6 151 170 kr , EiendomsMegler 1 Mariero
174980347 , Saxemarka - PÅMELDING TIL VISNING | Flott leilighet i 2.etg m/3 soverom, innglasset balkong med gode solforhold | Gode parkeringsmul , Leif Dietrichsons gate 12E, Stavanger , 70 m² , 2 390 000 kr , Totalpris: 2 604 950 kr • Fellesutg.: 4 384 kr , DNB Eiendom AS
161838401 , Storhaug - PÅMELDINGSVISNING - Sentrumsnær og flott 3-roms selveierleilighet, parkering, balkong og kun 5 min gange til sentrum. , Skolegata 23, Stavanger , 57 m² , 2 365 000 kr , Totalpris: 2 425 462 kr • Fellesutg.: 800 kr , DNB Eiendom AS
173315018 , ØNSKES VISNING I PÅSKEN, TA KONTAKT. Oppusset leilighet beliggende i blokkens 2. etasje med sørvendt balkong! , Helmer Hanssens gate 4D, Stavanger , 68 m² , 2 137 500 kr , Totalpris: 2 227 605 kr • Fellesutg.: 3 961 kr , EiendomsMegler 1 Østre Bydel
174987949 , Flott leilighet med stor vestvendt terrasse , Polarveien 5A, Stavanger , 52 m² , 2 000 000 kr , Totalpris: 2 620 396 kr • Fellesutg.: 4 511 kr , EiendomsMegler 1 Madla
152584756 , Vestre Platå - Påmeldingsvisning - Sjarmerende enebolig med 3 sov. og 2 stuer- Nyere kjøkken og bad - Parkering på tomt - Solrik hage! , Schiøtz' gate 9, Stavanger , 151 m² , 4 790 000 kr , Totalpris: 4 911 092 kr , DNB Eiendom AS
174986489 , Bjergsted - Lekker 3-roms med høy standard - Privat takhage og felles takterrasse - PÅMELDINGSVISNING , Tanangergata 8, Stavanger , 95 m² , 5 500 000 kr , Totalpris: 5 646 520 kr • Fellesutg.: 3 812 kr , Eie Eiendomsmegling - Espen Eide & Partnere AS
174573820 , Åsen - Pen & innholdsrik familiebolig i sentralt og barnevennlig område|Magisk utsikt og to solrike uteområder , Bergåsveien 8A, Stavanger , 99 m² , 3 550 000 kr , Totalpris: 3 640 092 kr , DNB Eiendom AS
174412879 , Stokka - Oppgradert leilighet i attraktivt område med solrik balkong og 2 soverom. Stor felles hage. Stort areal i kjeller. , Ole Bulls Vei 4, Stavanger , 89 m² , 2 950 000 kr , Totalpris: 3 025 092 kr , DNB Eiendom AS
174979405 , Mosterøy - Mosterøy - Velholdt funkis bolig ved sjøen. Sandstrand, brygge og skjermet uteområde. Enestående sjøutsikt , Mosterøyveien 667, Mosterøy , 180 m² , 13 500 000 kr , Totalpris: 13 848 742 kr , Proaktiv Stavanger
174953843 , STAVANGER ØST / ROSENLI - Nyrenovert leilighet i ettertraktet område. God planløsning. Egen hage. 3 soverom. Parkering i carport. , Digranesveien 25, Stavanger , 99 m² , 3 880 000 kr , Totalpris: 3 905 258 kr • Fellesutg.: 4 832 kr , Krogsveen avd. Stavanger Øst
93095840 , Paradis Brygge Hus 3 og 4 -  Paradis er å bo urbant - og fritt. , Paradis Brygge Hus 3 og 4, Stavanger , 153 m² , 14 000 000 kr , Totalpris: 14 048 781 kr , EiendomsMegler 1 Nybygg Forus
140202868 , Paradis Brygge Hus 1 - Bo urbant - og fritt i sjøkanten. , Paradis Brygge Hus 1, Stavanger , 52 - 154 m² , 3 390 000 - 10 250 000 kr , Totalpris: 3 415 381 - 10 310 940 kr , EiendomsMegler 1 Nybygg Forus
