ID; Beskrivelse; adresse; kvadratmeter; pris;pris per kvadratmeter ; totalpris ; fellesutgifter; megler 
147935138 ; Brensholmen - Delikat og moderne enebolig som sto ferdig i 2013. Fine uteområder. ; Smålia 9, Brensholmen ; 164 m² ; 3650000 kr; 22256 ; EiendomsMegler 1 Rødbanken;0 ; Eier (Selveier) • Enebolig • 3 soverom
164415567 ; Visning 14/4. Lys og trivelig 2-roms leilighet i veldrevet borettslag. Midt mellom sentrum og UNN/UiT. ; Stakkevollvegen 112 B, Tromsø ; 45 m² ; 1698000 kr; 37733 ; Totalpris: 2 099 613 kr ; 6 016 kr ; EiendomsMegler 1 Rødbanken
174528299 ; Visning 14/4. Meget flott 3-roms leilighet på populære Fagereng. Parkering i garasje. Veldrevet borettslag. ; Alaskasvingen 5 C, Tromsø ; 64 m² ; 2990000 kr; 46719 ; Totalpris: 3 550 022 kr ; 7 385 kr ; EiendomsMegler 1 Rødbanken
174633576 ; Tromsdalen - Innholdsrik og flott toppleilighet med integrert garasje i meget barnevennlig boligområde i Tromsdalen. ; Turistvegen 80, Tromsdalen ; 143 m² ; 4990000 kr; 34895 ; Totalpris: 5 115 920 kr ; 705 kr ; EiendomsMegler 1 Rødbanken
174766621 ; Flott enebolig med fantastisk utsikt, garasje og hybel i attraktive Vesterlia. ; Grønlandsvegen 6 A, Tromsø ; 196 m² ; 8600000 kr; 43878 ; Totalpris: 8 816 170 kr;0 ; EiendomsMegler 1 Rødbanken
174611988 ; Stilren og topp moderne leilighet midt i sentrum. Skjermet beliggenhet, god standard og nydelig utsikt. ; Strandskillet 5 E, Tromsø ; 46 m² ; 3150000 kr; 68478 ; Totalpris: 3 229 920 kr ; 2 566 kr ; EiendomsMegler 1 Rødbanken
174950827 ; Salg av kontraktposisjon - Helt ny leilighet med garasje. Påkostet  kjøkken med hvitevarer, baderomsinnredning/dusj og dør mellom entre og stue. ; Elvegata 14 - SOLSEILET - Leilighet 402, Tromsø ; 73 m² ; 4930000 kr; 67534 ; Totalpris: 4 930 000 kr;0 ; EiendomsMegler 1 Rødbanken
174950747 ; Kræmer - Enebolig som ligger sentralt i forhold til sentrum og UNN/UITØ. Boligen har behov for renovering/oppussing. ; Stakkevollvegen 84, Tromsø ; 124 m² ; 3600000 kr; 29032 ; Totalpris: 3 691 170 kr;0 ; EiendomsMegler 1 Rødbanken
174950690 ; Sentrum Nord - Trivelig 2-roms leilighet med god utsikt mot Tromsøsundet,  en liten spasertur unna Tromsø sentrum. ; Seminarbakken 31, Tromsø ; 39 m² ; 2590000 kr; 66410 ; Totalpris: 2 658 637 kr ; 2 319 kr ; EiendomsMegler 1 Rødbanken
174863044 ; Guleng/Godthåp - Prisgunstig 2- roms toppleilighet midt mellom UNN/ UIT og sentrum. ; Stakkevollvegen 114 D, Tromsø ; 45 m² ; 1970000 kr; 43778 ; Totalpris: 2 360 168 kr ; 6 316 kr ; EiendomsMegler 1 Rødbanken
