ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
172140394 , Stavne - Lekker og romslig hjørneleilighet fra 2017. Gjennomgående moderne standard. Solrik balkong. Heis og p-kjeller. , Stavnevegen 9, Trondheim , 71 m² , 4 150 000 kr , EiendomsMegler 1 avd. Trondheim Vest/Byåsen , Eier (Selveier) • Leilighet • 2 soverom
175007719 , Heimdal - Velholdt enebolig med stor tomt og idyllisk hage sentralt på Heimdal - Garasje og carport - Flotte og solrike uteområder , Oskar Skaugs veg 8, Heimdal , 180 m² , 5 590 000 kr , Totalpris: 5 731 092 kr , DNB Eiendom AS
175007110 , LADE - Svært attraktiv 3-roms leilighet, med solvendt balkong og en utmerket beliggenhet på idylliske Lade. Parkering og bod. , Håkon Magnussons gate 1 B, Trondheim , 91 m² , 4 100 000 kr , Totalpris: 4 216 602 kr • Fellesutg.: 4 198 kr , Proaktiv Trondheim
175006957 , Høyskoleparken - Utsøkt 3-roms med solrik balkong. Betydelig renovert i 2016. Ypperlig beliggenhet kun 5 min. til NTNU Gløs og St. Olavs. , Tormods gate 6 B, Trondheim , 63 m² , 3 690 000 kr , Totalpris: 3 735 625 kr • Fellesutg.: 2 500 kr , PrivatMegleren Trondheim
175003079 , Strinda Hageby - Splitter ny 3-roms under bygging | P-Kjeller og Heis | Innglasset balkong , Øvre Granåslia 25, M-304, Trondheim , 49 m² , 3 270 000 kr , Totalpris: 3 296 040 kr • Fellesutg.: 1 835 kr , Heimdal Eiendomsmegling AS, Hovedkontor Trondheim
162396424 , CHARLOTTENLUND - Innholdsrikt rekkehus med fin og barnevennlig beliggenhet - Kjøkken fra 2018 - Garasje. , Churchills veg 5C, Jakobsli , 120 m² , 4 225 000 kr , Totalpris: 4 337 499 kr • Fellesutg.: 775 kr , Meglerhuset Nylander avd Stjørdal
174998212 , Kolstad - Innholdsrik enebolig i kjede - Flott beliggenhet i feltet - Grenser mot grøntarealer - Garasje - Nærhet til marka , Kolstadtunet 3 D, Saupstad , 105 m² , 3 150 000 kr , Totalpris: 3 239 992 kr , Proaktiv Eiendomsmegling avd. Heimdal
174997778 , Othilienborg - Innholdsrik og flott 4-romsleilighet i et veldrevet borettslag. Kjøkken og bad TG1. Vestvendt balkong. Barnevennlig , Alfred Trønsdals veg 24, Trondheim , 79 m² , 2 950 000 kr , Totalpris: 3 172 852 kr • Fellesutg.: 4 401 kr , EiendomsMegler 1 avd. Trondheim Sør/Øst
158264446 , Tiller - NYDELIG OG PÅKOSTET 3-ROMS SELVEIERLEIL I 5. ETG FRA 2018. Heis. Fjernvarme. Mulighet for rask overtagelse. , Movollen 85, Tiller , 81 m² , 4 490 000 kr , Totalpris: 4 609 170 kr • Fellesutg.: 3 393 kr , EiendomsMegler 1 avd. Trondheim Sør/Øst
149525965 , TROLLA - Praktfull eiendom med fantastisk beliggenhet - Stor enebolig med vidstrakt utsikt over fjorden, Munkholmen og Trondheim , Trollahaugen 41, Trondheim , 233 m² , 7 000 000 kr , Totalpris: 7 185 842 kr , Proaktiv Eiendomsmegling avd. Moholt
