SEP=,

ID, beskrivelse, adresse, Kvadratmeter, pris, utleier, type bolig , link
173095104,2-ROMS MIDT I SENTRUM,Betalt plassering, 47 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173095104,
120723211,Flott leilighet leies ut for korttidsleie,Tomasjordnes -  Tomasjord, 56 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=120723211,
174944733,Sentral 3-roms leilighet ved sjøkanten,Strandvegen 82 -  Tromsø, 50 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174944733,
125353682,4 - roms leilighet til leie,Kræmerveien 2 -  Tromsø, 60 m²,18 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=125353682,
122845431,4-roms leilighet til leie.,Rektor Steensgate 31. -  Tromsø, 90 m²,18 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=122845431,
148206581,Hybelleilighet til leie fra omgående -  eller fra 1 mai.,Nedre markveg 31 -  Tromsø, 1 m²,6 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=148206581,
174874750,2 ledige rom fra mai i hyggelig kollektiv,Bekkevollvegen -  Tromsø, 8 m²,4 750 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174874750,
174865328,Leilighet til leie,Erikjordveien 17 -  Tromsdalen, 80 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174865328,
174864987,3-roms leilighet,Finnhvalveien 9 -  Kvaløysletta, 60 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174864987,
172021774,2-roms hybelleilighet med egen inngang i rolig strøk,Selmalund -  Tromsdalen, 30 m²,9 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=172021774,
174810705,Leilighet til leie midt i Tromsø sentrum,Fiskergata 9B -  Tromsø, 70 m²,19 000 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174810705,
173269002,Fint leilighet. Leies ut ett rum.,Tromsø, 10 m²,6 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=173269002,
152029961,Treroms sokkelleilighet til leie i idylliske Ersfjordbotn,Nattmålsvegen -  Kvaløya, 56 m²,10 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=152029961,
174657977,SENTRUM - Flott leilighet midt i hjertet av Tromsø by!,Skippergata 4 a -  Tromsø, 24 m²,8 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174657977,
143805707,Lys og moderne 2-roms leilighet med stor terrasse til leie i Workinntoppen,Workinntoppen 18 -  Tromsø, 41 m²,12 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=143805707,
102205278,Rom i bofelleskap sentralt,Aldor Ingebrigtsens veg 23 -  Tromsø, 15 m²,6 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=102205278,
73566974,3-ROMS SOKKELLEILIGHET - SOLLIGÅRDEN - LEDIG 1.JULI 2020,Tromsdalen, 75 m²,14 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=73566974,
174720581,Leilighet med 2 soverom -  godt med bodplass og parkering på Mortensnes,Stuertveien 13 -  1. etasje -  Tromsø, 67 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174720581,
163915643,Toppleilighet til leie i Rådhusgata,Rådhusgata 7 -  Tromsø, 78 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=163915643,
93751601,Hybel ledig,Eidsvollvegen 21 -  Kvaløya, 22 m²,6 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=93751601,
73109638,Fin 2 - roms meget sentralt i Tromsdalen,MYRVEGEN 20 A -  Tromsdalen, 50 m²,11 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=73109638,
140506895,Ny -  flott 3 roms leilighet i Ramfjorden -  gode solforhold og sjøutsikt,Maritindvegen 18 -  Ramfjordbotn, 63 m²,11 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=140506895,
174602232,3 roms leilighet sentralt på Tromsøya,Marmælen 98 -  Tromsø, 98 m²,19 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174602232,
174640559,Hybel til leie i Tromsø Sentrum,Petersborggata -  Tromsø, 16 m²,5 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174640559,
88887719,Sentrumsnær loftsleilighet til leie!,O.L. Aunesgate 2 -  Tromsø, 45 m²,8 800 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=88887719,
172723522,2-roms leilighet på Bjerkaker til leie- inkl.parkering (korttidsleie),Strandvegen 112 A -  Tromsø, 45 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=172723522,
153897955,2 roms leilighet over sentrum,conrad holmboesveg 1 -  Tromsø, 65 m²,14 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=153897955,
78336510,Leilighet i sokkel til leie i Ersfjordbotn,Ersfjordbotn -  Kvaløya, 63 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=78336510,
174574971,2-roms leilighet på Tomasjordnes til leie,Tomasjordnes -  Tomasjord, 40 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174574971,
174555608,Helt ny og påkostet 3-roms leilighet,FAGERLIVEGEN 6 -  Tromsø, 60 m²,20 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174555608,
174550002,Lys og trivelig 3-roms på Storelva til leie,Borgensvingen -  Kvaløya, 75 m²,12 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174550002,
174527792,Flott liten kjeller-leilighet på Myreng,Tromsø, 45 m²,10 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174527792,
144121710,Sentralt på Myreng 60 kvm med veranda,MYRENGVEGEN 41A -  Tromsø, 60 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=144121710,
174502789,Rom i bofelleskap leies ut. To er ledige fra 1.juli,ISHAVSVEGEN -  Tromsø, 7 m²,6 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174502789,
174501243,3 roms leilighet ledig -   5 min fra UIT/UNN,Friggs vei 7 -  Tromsø, 65 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174501243,
89549238,Hybel ledig for jente,GRIMSBYVEGEN 14 -  Tromsø, 9 m²,3 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=89549238,
174489240,Tromsø Sentrum: Ny og moderne fullt møblert 3-roms leilighet / kortidsleie,FR NANSENS PLASS 18 -  Tromsø, 50 m²,12 000 kr,Nordic Host AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174489240,
174476941,Leilighet til leie -  sentralt på Kvaløysletta,Gråtindvegen 23 -  Kvaløysletta, 50 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174476941,
174474300,Tromsø Sentrum: Moderne fullt møblert 4-roms leilighet med balkong / kortidsleie,FR NANSENS PLASS 18 -  Tromsø, 89 m²,18 000 kr,Nordic Host AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174474300,
174473283,Hybelleilighet med sovealkove,ÅSLIVEGEN 45 -  Tromsø, 22 m²,7 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174473283,
174470980,Stort hus til leie 5 min fra UIT/UNN,Friggs vei 7 -  Tromsø, 130 m²,24 000 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174470980,
156558114,Rom i bofellesskap midt mellom sentrum og UiT,Stakkevollvegen 40 -  Tromsø, 90 m²,5 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=156558114,
82487027,3-roms sokkelleilighet helt nede ved havet,Fjordvegen 517 -  Kvaløya, 65 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=82487027,
107042759,Hybel til leie,MORILDVEGEN 50 -  Kvaløysletta, 25 m²,7 500 kr,Privat,Andrefinn.no/realestate/lettings/ad.html?finnkode=107042759,
97800028,Møblert hybel med eget bad ledig fra 1. mai,Hummerveien 16 -  Kvaløya, 20 m²,6 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=97800028,
174422146,Helt ny hybel til leie på Bjerkaker,Bentsjordvegen 11C -  Tromsø, 12 m²,7 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174422146,
174400478,Hybelleilighet sentralt i Tromsø.,Henrik Ibsens veg 28 -  Tromsø, 18 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174400478,
147767413,Kortidsleie med lavt depositum,Kræmervegen 2 -  Tromsø, 10 m²,5 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=147767413,
140832435,2 hybler med felles kjøkken/stue og bad,Tromsdalen, 40 m²,5 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=140832435,
100064225,Vertikaldelt bolig på Sør-Tromsøya (langtidsleie),KVELDROVEGEN 52 -  Tromsø, 120 m²,20 000 kr,Privat,Rekkehusfinn.no/realestate/lettings/ad.html?finnkode=100064225,
125736394,3 roms sokkelleilighet. Sentralt på Tomasjord/tromsdalen.,Tomasjord, 55 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=125736394,
173095104,2-ROMS MIDT I SENTRUM,Betalt plassering, 47 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173095104,
130228060,Rom ledig i 4 roms -  sentralt i Tromsø,NORDRE TOLLBODGATE 7 -  Tromsø, 13 m²,6 300 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=130228060,
174392532,4-roms leilighet sentralt på Tomasjord,TOMASJORDVEGEN 128 B -  Tomasjord, 85 m²,18 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174392532,
174392746,Sokkelleilighet til leie,Vesterlivegen -  Tromsø, 30 m²,8 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174392746,
115619716,Nyoppusset og praktisk hybelleilighet av god standard med parkering -  sovehems - ++,SØREMS VEG 12 B -  Tromsø, 23 m²,9 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=115619716,
174388910,Rom i bofelleskap leies ut omgående,Tromsø, 8 m²,6 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174388910,
170506129,Romslig 3 roms leilighet til leie i Hamna,Grevlingveien 75 -  Tromsø, 76 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=170506129,
174383234,5-roms leilighet til leie på toppen av Tromsøya,Forhåpningen 27A -  Tromsø, 107 m²,23 000 kr,Privat,Tomannsboligfinn.no/realestate/lettings/ad.html?finnkode=174383234,
162082841,Romslig hybel,Tromsdalen, 30 m²,8 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=162082841,
174377133,Leilighet på ca 50 kvm til leie,Kvaløysletta, 50 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174377133,
168718271,Helt ny sokkelleilighet nært UIT leies ut,Styrmannsvegen 51 -  Tromsø, 43 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=168718271,
139562934,Møblert stor studioleiligheter til leie fra april,BEKKEVOLLVEGEN 24 -  Tromsø, 30 m²,8 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=139562934,
105070482,Leilighet til leie på Mortensnes,WINSTON CHURCHILLS VEG 41 -  Tromsø, 49 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=105070482,
174350887,Rom til leie / flatmate wanted,Forhåpningen 18A -  Tromsø, 100 m²,12 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174350887,
86157891,5-roms leilighet 100 m2 sentralt i Tromsdalen,ÅSVEGEN 8 -  Tromsdalen, 100 m²,16 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=86157891,
73022797,Lys -  trivelig  -  rolig og møblert hybel på Fagereng,Blårevsvingen 9 -  Tromsø, 20 m²,5 800 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=73022797,
