SEP=,

ID, beskrivelse, adresse, Kvadratmeter, pris, utleier, type bolig , link
91501972,Pen leilighet  -  ink. internett -  alle hvite- og brunevarer. 1mnd dep!,Betalt plassering, 55 m²,6 999 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=91501972,
174952815,NYERE 3-ROMS - GARASJEPLASS MED EL-LADING  - VARMTVANN INKLUDERT I HUSLEIEN,Sælenveien  91 -  Fyllingsdalen, 78 m²,14 000 kr,Utleiemegleren Bergen,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174952815,
174642517,Leilighet i skjermede omgivelser midt i Bergen sentrum,Dokkebakken 7 -  Bergen, 70 m²,20 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174642517,
174939049,Leiligheit i Strandgaten,Strandgaten 210 -  Bergen, 68 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174939049,
174934256,Ny leiligheten på Skansemyren,Skansemyrsveien 19a -  Bergen, 32 m²,8 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174934256,
174920229,2 ledige rom i kollektiv,Myrholtet 172 -  Fyllingsdalen, 10 m²,4 800 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174920229,
174911863,Pen 2-roms leilighet til leie! Inkludert tv -  internett og fast garasjeplass.,Vallalia 156 -  Nesttun, 62 m²,11 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174911863,
123170936,To rom med altan til leie nær Danmarksplass.,lien 37 -  Bergen, 11 m²,4 750 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=123170936,
174906475,2 roms leilighet til leie,SKOSTREDET 9 B -  Bergen, 40 m²,9 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174906475,
174909518,Lys og trivelig 4-roms leilighet i Bergen sentrum / sandviken. Gangavstand til alt!,SKUTEVIKSVEIEN 21 -  Bergen, 60 m²,15 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174909518,
169874845,Flott toppleilighet i Bergen sentrum/Sandviken -  like ved støletorget -  bare et par minutters gange til bryggen.,SKUTEVIKSVEIEN 21 -  Bergen, 50 m²,11 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=169874845,
