SEP=,

ID, beskrivelse, adresse, Kvadratmeter, pris, utleier, type bolig , link
174276732,Lys -  romslig 2-roms leilighet med balkong på Holmen!*50m til butikk- visning 1.4,Betalt plassering, 52 m²,11 000 kr,Advokat Petter Halvorsen,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174276732,
174952305,Eksklusiv 3-roms leilighet - Høy standard- Tv/internett inkl.- Ledig 01.06.,Sorgenfrigata 7b -  Leilighet H0101 -  Oslo -  Uranienborg - Majorstuen, ikke oppgitt,15 500 kr,Utleiemegleren Pro,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174952305,
174948427,Rom i kollektiv,Hammerstadgata -  Oslo -  Uranienborg - Majorstuen, 9 m²,4 650 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174948427,
174938698,INNFLYTNINGSKLAR Svært sentral og arealeffektiv leilighet på Fagerborg. *Nyoppusset 2020*,FAGERBORGGATA 44 -  Oslo -  St.Hanshaugen - Ullevål, 13 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174938698,
82904631,KORTTIDSLEIE - sjarmerende 2-roms inkl oppvarming/varmt vann/internett/kabel-TV,GALGEBERG 3 K -  Oslo -  Gamle Oslo, 34 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=82904631,
169511200,Videovisning mulig! Rom til leie i moderne og koselig kollektiv med balkong. Nær BI og Storo. Fra 1 mai.,Birch Reichenwalds gate 2H -  Oslo -  Sagene - Torshov, 11 m²,4 950 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=169511200,
169533275,Videovisning mulig! Ett ledig rom i sentralt jentekollektiv på Bislett! Fra 1 mai. To store nye bad!,OSCARS GATE 4 -  Oslo -  Uranienborg - Majorstuen, 6 m²,4 950 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=169533275,
72746961,PRAKTISK 1 ROMS PAA FAGERBORG/ MAJORSTUA. FYRING OG VARMT VANN INKLUDERT,FAGERBORGGATA 44 -  Oslo -  St.Hanshaugen - Ullevål, 28 m²,9 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=72746961,
77541732,Fresh leilighet på Ensjø -  kun 5 minutter med banen fra sentrum -  inkl. bredbånd,Gladengveien 15 A -  Oslo -  Helsfyr - Sinsen, 42 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=77541732,
146364053,En skjult skatt i Oslo-marka,Dølerudveien -  Klemetsrud -  Oslo -  Søndre Nordstrand, 140 m²,18 000 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=146364053,
174946295,GRÜNERLØKKA - 2-roms leilighet i klassisk bygård - Ledig Ca 1.april - Peis -,Trondheimsveien 26 -  Oslo -  Grünerløkka - Sofienberg, ikke oppgitt,13 000 kr,Utleiemegleren Grønland,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174946295,
174935738,Koselig og møblert ettroms loftsleilighet på Frogner. Alt inkludert: strøm -  internett. Ledig omgående.,Balders gate -  Oslo -  Bygdøy - Frogner, 20 m²,10 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174935738,
174931554,FROGNER: Flott 2-romsleilighet Bygdøy Allé nær Solli plass -  inkl. varmtvann og strøm,Sørvangen 29 -  Oslo -  Ullern, 38 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174931554,
174930328,Lys ettroms loftsleilighet på Frogner. Møblert. Strøm og Internett inkludert. Rolig og urbant. Ledig omgående.,Balders gate 13 -  Oslo -  Bygdøy - Frogner, 20 m²,10 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174930328,
174935917,MAJORSTUEN - Pen og innbydende 3-roms leilighet med balkong og heis. Varmtvann og fyring inkludert.,Industrigata 40 -  Oslo -  Uranienborg - Majorstuen, 60 m²,18 000 kr,Utleiemegleren Homansbyen,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174935917,
81812028,Leilighet på Løren,Lørenvangen 38 -  Oslo -  Bjerke, 45 m²,13 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=81812028,
174931103,Montebello - 2-roms (inkl. strøm og internett),Hemmestveitbakken 9a -  Oslo -  Røa, 23 m²,8 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174931103,
171480023,RODELØKKA - LYS -  PEN 2(3)-ROMS MED GOD STANDARD. NYERE BAD - SENTRALT OG STILLE,DÆLENENGGATA 27 B -  Oslo -  Grünerløkka - Sofienberg, 56 m²,14 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=171480023,
170942742,2 ledige rom i sentralt bofelleskap på Grünerløkka,Holsts Gate 1 0303A -  Oslo -  Sagene - Torshov, 20 m²,6 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=170942742,
174927945,3-roms leilighet med balkong og peis,GAUPEFARET 6 -  Oslo -  Vinderen, 55 m²,14 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174927945,
174927097,Liten hyggelig rolig hybel  Bygdøy,S.H.Lundhs vei 7 D -  Oslo -  Bygdøy - Frogner, 22 m²,6 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174927097,
115206159,Leilighet midt på Solli Plass til leie,PARKVEIEN 64 -  Oslo -  Bygdøy - Frogner, 28 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=115206159,
142402068,Rom i koselig kollektiv på Løkka,Toftes gate 51 A -  Oslo -  Grünerløkka - Sofienberg, 9 m²,6 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=142402068,
77186613,To koselige hybler Oslo Vest,Oslo -  Røa, 25 m²,7 900 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=77186613,
174921244,URANIENBORG/MAJORSTUEN - Flott og romslig leilighet -  ETT ROM LEDIG FRA 01.07 (jente),Uranienborgveien 25 -  Oslo -  Uranienborg - Majorstuen, 7 m²,6 333 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174921244,
174927461,FROGNER - Lekker 3-roms loftsleilighet m/takterrasse Inkl nett/hvitev - Ledig nå,ODINS GATE 16 -  Oslo -  Bygdøy - Frogner, 53 m²,16 000 kr,Merkantilbygg AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174927461,
171091460,Moderne studioleilighet - Vender mot stille  bakgård -  inkludert varmtvann -  internett og kabel-tv,Lambrechts' gate 4 -  Oslo -  Bygdøy - Frogner, 41 m²,14 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=171091460,
174925924,FROGNER - Lekker og romslig 3-roms inkl. internett/hvitevarer - Ledig 1. mai!,ODINS GATE 16 -  Oslo -  Bygdøy - Frogner, 60 m²,15 700 kr,Merkantilbygg AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174925924,
174923750,Lys og moderne loftsleilighet over 2 plan - 3 soverrom,Observatoriegata 14 -  Oslo -  Bygdøy - Frogner, 140 m²,30 000 kr,Husleie.No AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174923750,
174925549,Nydalen - Lys og arealeffektiv 1-roms med fransk balkong - varmtvann og tv/internett inkl. - Kort vei til Storo og BI,Gunnar Schjelderups vei 33C -  Oslo -  Grefsen - Kjelsås, 14 m²,7 900 kr,Utleiemegleren Homansbyen,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174925549,
174546522,2 rom til leie i stor leilighet på Nydalen/Voldsløkka -  Nær BI,BISKOP HEUCHS VEI 42 -  Oslo -  Sogn, 110 m²,6 250 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174546522,
174916815,MAJORSTUEN: NYOPPUSSET 2-ROMS LEILIGHET VENDT MOT ROLIG BAKGÅRD. SENTRAL BELIGGENHET.,HEGDEHAUGSVEIEN 21 B -  Oslo -  Uranienborg - Majorstuen, 36 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174916815,
174922962,2-roms til leie i Storotunet ved Handelshøyskolen BI,GUNNAR SCHJELDERUPS VEI 4 -  Oslo -  Grefsen - Kjelsås, 37 m²,12 000 kr,Thon Eiendom,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174922962,
79244778,Fin leilighet på 65 kvadrat på idylliske Ormøya 0198 Oslo,Singasteinveien 12 -  Oslo -  Ekeberg - Bekkelaget, 65 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=79244778,
174919231,Del av tomannsbolig til leie på Kjelsås (overetasjen),Oslo -  Grefsen - Kjelsås, 300 m²,40 000 kr,Privat,Tomannsboligfinn.no/realestate/lettings/ad.html?finnkode=174919231,
69772112,2 ROMS ved AKER BRYGGE -  midt i sentrum,Munkedamsveien 57 -  Oslo -  Bygdøy - Frogner, 40 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=69772112,
174918334,KAMPEN: Stor garasjeplass i lukket anlegg til leie. Ledig omgående,Aurskoggata 7b -  Oslo -  Gamle Oslo, 15 m²,1 500 kr,Privat,Garasje/Parkeringfinn.no/realestate/lettings/ad.html?finnkode=174918334,
174917300,Herlig og lys 3-roms ved Botanisk hage,Sars gate 2a -  Oslo -  Grünerløkka - Sofienberg, 60 m²,17 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174917300,
108571860,Ettroms leilighet sentralt på Skillebekk -  LEDIG OMGÅENDE -  visning etter avtale,FREDERIK STANGS GATE 4 B -  Oslo -  Bygdøy - Frogner, 24 m²,8 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=108571860,
174921732,MARIENLYST - Delikat og lys 3- roms toppleilighet - V.vann og fyring inkl - Peis - Felles parkering - Balkong med utsikt over byen - Ta kontakt for å avtale privatvisning!,Kirkeveien 110 A -  Oslo -  St.Hanshaugen - Ullevål, 64 m²,17 800 kr,Utleiemegleren Frogner,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174921732,
174913596,Pen ettroms leilighet med sovealkove til leie,Jacob Aalsgate 18 -  Oslo -  Uranienborg - Majorstuen, 35 m²,11 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174913596,
174916677,Hyggelig kollektiv i Vibes gate :) Mulighet for både korttidsleie og langtidsleie!,Vibes gate -  Oslo -  Uranienborg - Majorstuen, 9 m²,5 600 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174916677,
174919940,Bjerke: Pen endeleilighet med solrik balkong. Leiligheten passer veldig godt for 2 venner å dele.
Varmtvann  inkl. i husleien.,Lunden 19 A -  Oslo -  Bjerke, 75 m²,13 900 kr,Utleiemegleren Sinsen,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174919940,
174918436,Moderne 2-roms leilighet i Karl Johan Kvartalet - Dronningens gate 30,Dronningens gate 30 -  Oslo -  Sentrum, 50 m²,13 900 kr,Thon Eiendom,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174918436,
174919399,Rosenhoff - Lys og pen 2-roms leilighet - Varmtvann/fyring/Kabel-tv og internett inkl.,Trondheimsveien 155 -  Oslo -  Helsfyr - Sinsen, 43 m²,13 800 kr,Utleiemegleren Sinsen,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174919399,
174913936,Hybel / room for rent,Oscars gate -  Oslo -  Uranienborg - Majorstuen, 22 m²,7 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174913936,
81344969,2-roms med fritt utsyn ved Torshovparken. Sydvendt med gode lys- og solforhold. God planløsning -  nyere kjøkken og bad,NORDKAPPGATA 23 -  Oslo -  Sagene - Torshov, 49 m²,14 100 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=81344969,
128114545,2 rom ledig i nyoppusset leilighet sentralt på Ullern - Redusert pris!,SILURVEIEN 46 -  Oslo -  Ullern, 69 m²,5 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=128114545,
168384716,Garasje/parkeringsplass til utleie  sentralt i helsfyr,Inspurtveien 12 -  Oslo -  Helsfyr - Sinsen, 12 m²,1 250 kr,Privat,Garasje/Parkeringfinn.no/realestate/lettings/ad.html?finnkode=168384716,
174916145,3-roms leilighet med balkong i Karl Johan kvartalet - Dronningens gate 30,Dronningens gate 30 -  Oslo -  Sentrum, 58 m²,16 500 kr,Thon Eiendom,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174916145,
121851329,Innendørs parkeringsplass på Karenslyst Allé nær Skoyen stasjon,KARENSLYST ALLÉ 46 -  Oslo -  Ullern, 15 m²,1 500 kr,Privat,Garasje/Parkeringfinn.no/realestate/lettings/ad.html?finnkode=121851329,
170642178,Garasjeplasser i fellesgarasje til leie ved Bislett.,Betalt plassering, 18 m²,1 800 kr,Privat,Garasje/Parkeringfinn.no/realestate/lettings/ad.html?finnkode=170642178,
165765977,Room for rent central Oslo,Torggata 25 -  Oslo -  Grünerløkka - Sofienberg, 10 m²,5 100 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=165765977,
174908049,ST.HANSHAUGEN - 1-roms leilighet til leie,Bjerregaards gate 5b -  Oslo -  St.Hanshaugen - Ullevål, 20 m²,9 800 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174908049,
174601100,SLEMDAL/RIS: Romslig og lys 3-roms leilighet med egen uteplass. Meget attraktiv beliggenhet. Inkl. hvitevarer og strøm,Jegerveien 22 -  Oslo -  Vinderen, 60 m²,15 500 kr,Leiebolig Utleiemegling AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174601100,
174914046,PILESTREDET PARK: Attraktiv og moderne 3-roms m/solrik balkong - INKL fyring og varmtvann - Garasjeplass mot tillegg - Ledig 1. mai.,Pilestredet Park 14 -  Oslo -  St.Hanshaugen - Ullevål, 58 m²,16 900 kr,Utleiemegleren Homansbyen,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174914046,
135078056,Hybel v/Gressbanen-Holmen. Parkering mulig,Holmenkollvn 41 -  Oslo, 30 m²,8 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=135078056,
174638683,Studioleilighet i Nydalen (5min fra BI og t-banestasjonen),Gjerdrums vei 12 -  Oslo -  Sagene - Torshov, 20 m²,9 200 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174638683,
113941272,Solsiden Nydalen - 2-roms Leilighet like ved BI,NYDALEN ALLÉ 3 -  Oslo -  Sagene - Torshov, 52 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=113941272,
148007529,Garasje/lagerplass til leie på Teisen i Oslo,KLOSTERHEIMVEIEN 1 -  Oslo -  Helsfyr - Sinsen, 14 m²,1 000 kr,Privat,Garasje/Parkeringfinn.no/realestate/lettings/ad.html?finnkode=148007529,
100062154,Original og pen 3-roms leilighet i hjertet av Oslo,Osterhaus Gate 21B -  Oslo -  Grünerløkka - Sofienberg, 64 m²,16 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=100062154,
174908874,NEDRE ULLEVÅL - 1-roms med balkong i rolig område ledig fra 13/11,Nedre Ullevål 4 -  Oslo -  St.Hanshaugen - Ullevål, 27 m²,9 800 kr,Heimstaden AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174908874,
174908942,SINSEN - Romslig 2-roms med balkong,Sinsenveien 66 -  Oslo -  Bjerke, 37 m²,11 600 kr,Heimstaden AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174908942,
174902537,Rom til leie midt i Oslo,Wessels gate 3b -  Oslo -  St.Hanshaugen - Ullevål, 13 m²,9 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174902537,
174899450,Rom i bofellesskap Grünerløkka,THORVALD MEYERS GATE 71 A -  Oslo -  Grünerløkka - Sofienberg, 15 m²,6 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174899450,
107437384,Nybygget leilighet med fin beliggenhet i rolig strøk,Sturlasvei 22 -  Oslo -  Røa, 35 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=107437384,
