SEP=,

ID, beskrivelse, adresse, Kvadratmeter, pris, utleier, type bolig , link
79267046,BR30 - FIRE AV FIRE LEILIGHETER I LEIE I SENTRUM!,Betalt plassering, 10 m²,5 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=79267046,
172426358,Sokkelleilighet på Byneset,Hangerslettvegen 170 -  Bosberg, 85 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=172426358,
174925276,Ny -  strøken leilighet med balkong leies ut,Julianus Holms veg 26 -  Trondheim, 40 m²,11 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174925276,
174923458,Heimdal - Nylig oppgardert 2 - (3) roms leilighet - Terrasse og hage - Rolig område -  67 m2 BRA,Holtvegen 2B -  Heimdal, 65 m²,10 000 kr,Utleiemegleren Trondheim,Tomannsboligfinn.no/realestate/lettings/ad.html?finnkode=174923458,
174861518,MØLLENBERG - Moderne og sentral 2-roms -  ALT INKLUDERT og delvis møblert,Nonnegata -  18A -  Trondheim, 46 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174861518,
174904774,LADEMOEN - Koselig og fin 2-romsleilighet - Sentral beliggenhet - Varmtvann og kabel-TV inkludert,Innherredsveien 65A -  Trondheim, 27 m²,9 500 kr,Utleiemegleren Trondheim,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174904774,
132514224,Hybel til leie,Lossiusvegen 14a -  Trondheim, 10 m²,4 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=132514224,
174893898,Hybel med liten kjøkkenkrok. Nært NTNU -  St Olavs -  Samfundet -  Sentrum. 11A 1.11,ARKITEKT CHRISTIES GATE 11 -  Trondheim, 16 m²,5 850 kr,ByBroen Bolig AS,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174893898,
174154060,Leilighet på Bakklandet leies ut,Trondheim, 77 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174154060,
172324933,Rom i studentkollektiv (Langtids eller korttidsleie),Clara Holsts veg 23 -  Trondheim, 8 m²,4 900 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=172324933,
172344589,Rom i bofellesskap med sentral plassering (ca.13 kvm),Østersunds gate 15 C2 -  Trondheim, 13 m²,5 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=172344589,
79466647,Nyoppusset sokkelleilighet med utsikt.,SKULE BÅRDSØNS GATE 3 B -  Trondheim, 40 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=79466647,
174858332,Stor og flott 3 roms leilighet sentralt på Havstein/Byåsen,ELGVEGEN 19 B -  Trondheim, 75 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174858332,
174856718,Sentralt beliggende 3 roms leilighet på Heimdal,Anders Liaklevs vei 9C -  Heimdal, 50 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174856718,
99688858,4-ROMS LEILIGHET MEGET SENTRALT I TRONDHEIM,BRATTØRGATA 4 -  Trondheim, 60 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=99688858,
174841209,Ledig rom i stor leilighet - deles kun med én annen!,Edgar B. Schieldrops veg -  Trondheim, 10 m²,5 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174841209,
170796866,Kollektiv i endring nær Gløshaugen campus søkjer djerv ny deltakar med veldreia personlegdom,Osloveien 180 -  Trondheim, 11 m²,4 532 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=170796866,
174841196,Enebolig like ved sentrum -  Heimdal,Ole Laulos veg 12 -  Heimdal, 129 m²,15 500 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174841196,
152802601,Lys og romslig sokkelleilighet til leie,Ranheimsmoen 29 c -  Ranheim, 51 m²,8 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=152802601,
174839746,Større bolig på Ranheim -  billig leie,NERVIKSVEGEN 28 A -  Ranheim, 208 m²,16 000 kr,Privat,Tomannsboligfinn.no/realestate/lettings/ad.html?finnkode=174839746,
174838420,Halvpart på Tyholt,Kong inges gate 37 -  Trondheim, 150 m²,15 000 kr,Privat,Tomannsboligfinn.no/realestate/lettings/ad.html?finnkode=174838420,
174836216,Leilighet på småbruk ved vassfjellet,Tulluan -  Klæbu, 90 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174836216,
174162268,Splitter ny og urban leilighet i sentralt område til leie - Nærbyen,Sorgenfriveien 22 -  Trondheim, 40 m²,9 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174162268,
111068471,Strøken 2-roms leil -  v NTNU Dragvoll -  god standard -  p-plass,STOKKANHAUGEN 100 -  Trondheim, 48 m²,9 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=111068471,
174822376,En flott vestvendt leilighet  på Tiller leies ut,Harald Torps veg 21 -  Tiller, 64 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174822376,
110034312,MØLLENBERG. 2-roms leilighet i bakgård m/egen Terrasse,NEDRE MØLLENBERGGT 77 B -  Trondheim, 43 m²,9 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=110034312,
75815541,Flott Leilighet til leie sentralt i Klæbu,Langelandvegen 6b -  Klæbu, 92 m²,14 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=75815541,
174782335,Sjelden mulighet-Flott 2-roms-Møllenberg-rimelig,NONNEGATA 16 -  Trondheim, 35 m²,10 250 kr,Krebreal Eiendom AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174782335,
174781388,Møllenberg- sentral leil med 3 sov (NM59B-H0301),NEDRE MØLLENBERG GATE 59B -  Trondheim, 60 m²,17 100 kr,Brevik Boligutleie AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174781388,
174781183,Møllenberg - Stor og pen leilighet med 3 soverom ved Solsiden(H0301),NONNEGATA 2 B -  Trondheim, 75 m²,18 000 kr,Brevik Boligutleie AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174781183,
174780894,Møllenberg - nyoppusset leil med 1 sov -  nye vinduer (Wv9b-H0301),WEIDEMANNS VEI 9 B -  Trondheim, 35 m²,10 000 kr,Brevik Boligutleie AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174780894,
174780769,Bo billig på Ila- leilighet med 5 sov og store fellesareal(Ov18H0402),Osloveien 18b -  Trondheim, 110 m²,24 000 kr,Brevik Boligutleie AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174780769,
174763539,Lekker nyoppusset leilighet -  høy standard -  leies ut.,Mellomveien 20 -  Trondheim, 50 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174763539,
95160620,KORTTIDSLEIE: Pen møblert leilighet i Trondheim Sentrum,FJORDGATA 52 -  Trondheim, 50 m²,10 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=95160620,
171620715,2-roms til leie på sentrale Møllenberg,NONNEGATA 16 -  Trondheim, 30 m²,10 250 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=171620715,
174723735,ENEBOLIG FORTUNALIA - 5 (6) Soverom,Jonsvannsveien 485 -  Jonsvatnet, 165 m²,16 500 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174723735,
174748244,Ledig rom i leilighet -  alt inkludert -  god standard,GAMLE OSLOVEI 70 -  Trondheim, 58 m²,6 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174748244,
174472427,Stor -  koselig og veldig sentral hybel i annekset på Bakke gård/Solsiden. Ledig fra mai 2020.,Innherredsveien 3a -  Trondheim, 20 m²,6 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174472427,
174730081,3 roms sokkelleilighet til leie,Væretrøa 69 -  Ranheim, 65 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174730081,
150931417,Midtbyen/Ila: Flott rom i bofelleskap til leie. God standard. Redusert leie grunnet Korona,Ilevollen 2 -  Trondheim, 12 m²,3 900 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=150931417,
75907609,Hybel i jente bofelleskap. Osloveien i Trondheim. Nært St. Olav/ NTNU/ Gløshugen,Osloveien 5-7 -  Trondheim, 11 m²,5 100 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=75907609,
99875806,Hybel fra 1.8.20. Kr. 0 - - i dep! Flotte sentrumsnære hybler -  ink RENGJØRING -  Wi-Fi -  strøm & vann,Blusuvoll Alle 5 -  Trondheim, 11 m²,5 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=99875806,
165491098,Stor flott hybel i bofellesskap til leie,Dalheimveien 15 -  Jakobsli, 17 m²,4 900 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=165491098,
73248985,To hybler / leilighet i moderne funkisbolig på Jakobsli / Charlottenlund leies ut fra 01.08.2020,KONGLEVEGEN 19C -  Jakobsli, 15 m²,6 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=73248985,
174689683,Sentral hybel på Kalvskinnet -  nært NTNU og St. Olavs. STRØM inkl. 11A 1.9,ARKITEKT CHRISTIES GATE 11 -  Trondheim, 11 m²,5 200 kr,ByBroen Bolig AS,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174689683,
142337965,Rom til leie i moderne leilighet på Lilleby,Ladveien 19 -  Trondheim, 58 m²,6 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=142337965,
174686588,1 av 4 hybler ledig -  STRØM INKL.Kalvskinnet/NTNU/ St Olavs. 3S 1.9,SVERRES GATE 3 -  Trondheim, 15 m²,5 850 kr,ByBroen Bolig AS,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174686588,
75645469,Leilighet med 3 soverom midt i sentrum. Ledig fra 01.08. 100% nyrestaurert bygg. Skype eller fysisk oppmøte.,Ravelsveita 6 -  Trondheim, 70 m²,18 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=75645469,
101161777,Leilighet på Byåsen,Havstadveien 10 -  Trondheim, 42 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=101161777,
170782545,4 roms nyoppusset sokkelleilighet på nedre Stubban.,Orionvegen 11B -  Trondheim, 73 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=170782545,
174189177,Nærhet til ALT: Nyoppusset og lys med høy standard!,SCHULTZ GATE 5 -  Trondheim, 72 m²,22 000 kr,MONUMENT EIENDOM AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174189177,
133305688,Stor og vakker eiendom 5 min fra St. Olav,Betalt plassering, 185 m²,24 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=133305688,
174190192,5 min fra Solsiden: Sentral -  romslig og lys leilighet!,JON RAUDES GATE 9 B -  Trondheim, 53 m²,12 000 kr,MONUMENT EIENDOM AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174190192,
148211095,2 hybler på kattem egnet til studenter,Brushaneveien -  19H -  Kattem, 11 m²,3 600 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=148211095,
